,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,,
,,1979,,,,,,,,,,
,,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL,
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL,
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS,
,,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,*,,*,*,
ASOTIN,0,0,340,"3,083","3,423",252,0,National,0,National,National,
BENTON,0,0,0,0,0,0,0,Forest,0,Forest,Forest,
CHELAN,0,"37,239","16,138","18,347","71,724",0,60,data not,0,data not,data not,
COLUMBIA,0,0,"4,907","3,041","7,948",3,0,available,0,available,available,
DOUGLAS,0,0,0,820,820,0,0,by county,0,by county,by county,
FERRY,"72,952","14,114",662,"14,582","102,310",143,0,"""",10,"""","""",
GARFIELD,0,0,"1,188",397,"1,585",0,0,"""",0,"""","""",
KITTITAS,0,"48,165","1,675","4,647","54,487","10,933","18,597","""",0,"""","""",
KLICKITAT,"7,258","45,249","9,495","10,444","72,446","18,289",0,"""",25,"""","""",
LINCOLN,0,0,1,"3,036","3,037",380,0,"""",0,"""","""",
OKANOGAN,"69,168",528,"6,886","15,623","92,205","15,404",0,"""",16,"""","""",
PEND ORIELLE,99,"17,237","1,640","17,911","36,887",105,57,"""",0,"""","""",
SPOKANE,0,"1,809","3,314","26,389","31,512","1,315",200,"""",0,"""","""",
STEVENS,"8,910","36,808","5,286","54,294","105,298","10,063",0,"""",0,"""","""",
WALLA WALLA,0,0,62,833,895,0,0,"""",0,"""","""",
WHITMAN,0,0,0,"1,152","1,152",0,0,"""",0,"""","""",
YAKIMA,"142,789","13,842","1,762","3,079","161,472","8,139","5,195","""",0,"""","""",
*   NATIONAL FOREST TIMBER HARVEST NOT AVAILABLE BY COUNTY; EASTSIDE TOTAL FOLLOWS:,,,,,,,,"291,369",,"291,369","291,369",
,,,,,,,,,,,,
EASTSIDE TOTALS,"301,176","214,991","53,356","177,678","747,201","65,026","24,109","291,369",51,"380,555","1,127,756",
,,,,,,,,,,,,
,,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,,
CLALLAM,"22,600","245,955","28,463","18,595","315,613","112,094",0,National,0,National,National,
CLARK,0,"13,560","3,178","21,561","38,299","3,928",0,Forest,0,Forest,Forest,
COWLITZ,0,"623,613","6,187","23,421","653,221","65,377",10,data not,0,data not,data not,
GRAYS HARBOR,"102,383","276,895","13,852","54,063","447,193","23,030","40,403",available,0,available,available,
ISLAND,0,261,"2,038","8,075","10,374",161,0,by county,500,by county,by county,
JEFFERSON,"2,478","131,292","11,407","36,588","181,765","503,464",0,"""","1,329","""","""",
KING,0,"252,002","3,484","23,410","278,896","30,938","10,323","""",0,"""","""",
KITSAP,"1,075","12,279","4,466","18,532","36,352","2,151","1,473","""","1,202","""","""",
LEWIS,0,"452,326","114,433","51,019","617,778","47,997",0,"""",0,"""","""",
MASON,0,"10,525","10,156","21,436","42,117","5,152",111,"""",0,"""","""",
PACIFIC,695,"356,086","1,682","31,407","389,870","19,754",0,"""",0,"""","""",
PIERCE,0,"135,693","4,273","21,220","161,186","23,530","6,717","""","6,259","""","""",
SAN JUAN,0,0,649,"10,262","10,911",0,0,"""",0,"""","""",
SKAGIT,"1,558","135,488","2,721","21,133","160,900","34,807",436,"""",0,"""","""",
SKAMANIA,0,"116,634",517,"4,070","121,221","17,172",0,"""",0,"""","""",
SNOHOMISH,45,"51,938","3,892","32,185","88,060","74,810",420,"""",0,"""","""",
THURSTON,0,"48,380","6,139","31,254","85,773","3,354",0,"""","4,713","""","""",
WAHKIAKUM,0,"57,624",0,"5,597","63,221","20,678",22,"""",0,"""","""",
WHATCOM,468,"32,833","3,548","13,467","50,316","41,788",94,"""",0,"""","""",
*   NATIONAL FOREST TIMBER HARVEST NOT AVAILABLE BY COUNTY; WESTSIDE TOTAL FOLLOWS:,,,,,,,,"984,246",,"984,246","984,246",
WESTSIDE TOTALS,"131,302","2,953,384","221,085","447,295","3,753,066","1,030,185","60,009","984,246","14,003","2,088,443","5,841,509",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STATEWIDE TOTALS,"432,478","3,168,375","274,441","624,973","4,500,267","1,095,211","84,118","1,275,615","14,054","2,468,998","6,969,265",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
