,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,,
,,1987,,,,,,,,,,
,,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL,
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL,
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS,
,,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,,
ASOTIN,0,0,201,805,"1,006",0,0,"2,359",0,"2,359","3,365",
BENTON,0,0,0,0,0,0,0,0,0,0,0,
CHELAN,0,"2,951","2,866","2,073","7,890","4,914",0,"90,996",0,"95,910","103,800",
COLUMBIA,0,0,"3,557","3,070","6,627",50,0,"13,556",0,"13,606","20,233",
DOUGLAS,0,0,0,0,0,0,0,0,0,0,0,
FERRY,"53,090","32,178","6,698","7,171","99,137","2,230",0,"43,517",859,"46,606","145,743",
GARFIELD,0,0,0,0,0,0,0,"3,126",0,"3,126","3,126",
KITTITAS,0,"138,284","3,323","5,855","147,462","14,012",0,"52,825",0,"66,837","214,299",
KLICKITAT,"1,736","57,867","4,715","14,953","79,271","34,475",0,"10,836",0,"45,311","124,582",
LINCOLN,0,0,0,"4,881","4,881",0,0,0,0,0,"4,881",
OKANOGAN,"24,591",0,"3,627","13,319","41,537","25,243",0,"111,936","2,566","139,745","181,282",
PEND ORIELLE,0,"39,172","4,236","10,478","53,886","5,722",0,"50,343",0,"56,065","109,951",
SPOKANE,0,"3,436","7,332","19,417","30,185","1,750","2,288",0,0,"4,038","34,223",
STEVENS,0,"51,500","10,750","53,023","115,273","16,200",50,"28,268","1,506","46,024","161,297",
WALLA WALLA,0,0,"3,556",791,"4,347",0,0,0,0,0,"4,347",
WHITMAN,0,0,0,245,245,0,0,0,0,0,245,
YAKIMA,"110,014","24,328","1,102","2,737","138,181","34,157",0,"54,550",0,"88,707","226,888",
,,,,,,,,,,,,
,,,,,,,,,,,,
EASTSIDE TOTALS,"189,431","349,716","51,963","138,818","729,928","138,753","2,338","462,312","4,931","608,334","1,338,262",
,,,,,,,,,,,,
,,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,,
CLALLAM,"13,514","112,764","84,654","34,779","245,711","101,169",8,"90,583","1,372","193,132","438,843",
CLARK,0,"39,538","5,552","22,279","67,369","8,035","1,298",0,0,"9,333","76,702",
COWLITZ,0,"331,169","3,376","46,175","380,720","45,839",352,"1,673",0,"47,864","428,584",
GRAYS HARBOR,"24,886","554,656","123,693","48,193","751,428","44,913","15,838","69,512",0,"130,263","881,691",
ISLAND,0,0,0,"12,155","12,155",208,0,0,3,211,"12,366",
JEFFERSON,0,"100,843","87,344","13,210","201,397","218,566",0,"44,718",120,"263,404","464,801",
KING,0,"217,166","1,288","7,752","226,206","27,505",844,"109,353",0,"137,702","363,908",
KITSAP,"3,798","27,966","17,567","10,889","60,220","5,109","1,205",0,"1,544","7,858","68,078",
LEWIS,0,"351,194","109,760","123,426","584,380","78,840",0,"125,225",0,"204,065","788,445",
MASON,"1,486","189,184","24,062","19,617","234,349","2,221",0,"27,424",0,"29,645","263,994",
PACIFIC,0,"201,503","51,713","33,513","286,729","21,691",0,0,337,"22,028","308,757",
PIERCE,0,"111,657","70,985","46,935","229,577","12,199",0,"36,016","6,146","54,361","283,938",
SAN JUAN,0,0,111,"2,755","2,866",385,0,0,0,385,"3,251",
SKAGIT,361,"73,959","56,000","19,599","149,919","74,507",0,"52,601",0,"127,108","277,027",
SKAMANIA,0,"13,140","29,154","4,015","46,309","27,439",347,"301,673",0,"329,459","375,768",
SNOHOMISH,"3,269","52,095","31,238","11,894","98,496","89,083",0,"69,846",0,"158,929","257,425",
THURSTON,45,"80,016","39,510","43,834","163,405","34,897",4,0,"3,487","38,388","201,793",
WAHKIAKUM,0,"55,322",13,"11,056","66,391","3,886",0,0,0,"3,886","70,277",
WHATCOM,"1,138","27,996","23,491","12,796","65,421","34,290",0,"31,888",0,"66,178","131,599",
,,,,,,,,,,,,
WESTSIDE TOTALS,"48,497","2,540,168","759,511","524,872","3,873,048","830,782","19,896","960,512","13,009","1,824,199","5,697,247",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STATEWIDE TOTALS,"237,928","2,889,884","811,474","663,690","4,602,976","969,535","22,234","1,422,824","17,940","2,432,533","7,035,509",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
