,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,,,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,,,,,,,,,,,
,,1998,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL,,,,,,,,,,
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL,,,,,,,,,,
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,,,,,,,,,,,
ASOTIN,0,34,0,"2,599","2,633",153,0,3,0,156,"2,789",,,,,,,,,,
BENTON,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
CHELAN,0,451,"3,649","6,773","10,873","2,112",0,"8,813",0,"10,925","21,798",,,,,,,,,,
COLUMBIA,0,"11,478",720,"3,526","15,724",0,0,"4,804",0,"4,804","20,528",,,,,,,,,,
DOUGLAS,0,0,0,179,179,0,0,0,0,0,179,,,,,,,,,,
FERRY,"60,502","5,260","1,470","7,912","75,144",56,0,"2,737",0,"2,793","77,937",,,,,,,,,,
GARFIELD,0,5,0,735,740,0,0,0,0,0,740,,,,,,,,,,
KITTITAS,0,"62,571","5,540","15,928","84,039","6,738",0,392,0,"7,130","91,169",,,,,,,,,,
KLICKITAT,0,"45,165","10,607","18,154","73,926","4,684",0,0,0,"4,684","78,610",,,,,,,,,,
LINCOLN,0,0,0,"5,993","5,993",0,0,0,0,0,"5,993",,,,,,,,,,
OKANOGAN,"26,988",144,"3,392","8,659","39,183","21,681",0,"10,478",0,"32,159","71,342",,,,,,,,,,
PEND ORIELLE,0,"63,887","7,743","31,839","103,469","8,566",450,"20,007",0,"29,023","132,492",,,,,,,,,,
SPOKANE,0,"4,317","4,756","20,817","29,890","3,033",19,0,0,"3,052","32,942",,,,,,,,,,
STEVENS,"14,622","29,338","18,035","68,074","130,069","19,202",0,"7,053",0,"26,255","156,324",,,,,,,,,,
WALLA WALLA,0,"2,581",0,"2,333","4,914",0,0,0,0,0,"4,914",,,,,,,,,,
WHITMAN,0,0,0,824,824,0,0,0,0,0,824,,,,,,,,,,
YAKIMA,"152,031","20,754",750,"4,573","178,108","11,165",0,"4,394",0,"15,559","193,667",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
EASTSIDE TOTALS,"254,143","245,985","56,662","198,918","755,708","77,390",469,"58,681",0,"136,540","892,248",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,,,,,,,,,,,
CLALLAM,"12,373","115,485","71,181","33,867","232,906","52,518",0,"6,701",0,"59,219","292,125",,,,,,,,,,
CLARK,0,"35,588","2,589","14,902","53,079","23,213",0,0,0,"23,213","76,292",,,,,,,,,,
COWLITZ,0,"212,143","12,977","39,828","264,948","31,005",0,346,0,"31,351","296,299",,,,,,,,,,
GRAYS HARBOR,"7,430","285,664","64,129","65,441","422,664","38,103","25,552",782,0,"64,437","487,101",,,,,,,,,,
ISLAND,0,0,"1,710","5,879","7,589",0,0,0,0,0,"7,589",,,,,,,,,,
JEFFERSON,0,"8,540","32,135","9,403","50,078","14,352",0,613,0,"14,965","65,043",,,,,,,,,,
KING,0,"99,879","14,200","20,558","134,637","10,161",454,709,0,"11,324","145,961",,,,,,,,,,
KITSAP,0,"1,610","9,003","14,603","25,216","1,199","3,000",0,831,"5,030","30,246",,,,,,,,,,
LEWIS,0,"256,285","38,455","42,960","337,700","81,965",0,"3,333",0,"85,298","422,998",,,,,,,,,,
MASON,0,"100,109","27,187","37,068","164,364","14,654",0,"4,965",0,"19,619","183,983",,,,,,,,,,
PACIFIC,0,"199,935","30,693","19,797","250,425","29,510",0,0,0,"29,510","279,935",,,,,,,,,,
PIERCE,0,"135,080","31,907","57,184","224,171","11,399",804,0,"5,557","17,760","241,931",,,,,,,,,,
SAN JUAN,0,0,0,"2,879","2,879",0,36,0,0,36,"2,915",,,,,,,,,,
SKAGIT,10,"48,185","26,636","31,538","106,369","40,461",0,0,0,"40,461","146,830",,,,,,,,,,
SKAMANIA,0,"5,170","3,155","6,674","14,999","20,705",0,"29,060",0,"49,765","64,764",,,,,,,,,,
SNOHOMISH,"1,138","11,415","39,387","23,256","75,196","13,941","4,570","5,398",0,"23,909","99,105",,,,,,,,,,
THURSTON,37,"39,809","7,263","14,460","61,569","51,324",0,0,"3,920","55,244","116,813",,,,,,,,,,
WAHKIAKUM,0,"37,490","9,137","10,805","57,432","9,688",655,0,0,"10,343","67,775",,,,,,,,,,
WHATCOM,0,"28,740","14,755","33,324","76,819","24,746",0,54,0,"24,800","101,619",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
WESTSIDE TOTALS,"20,988","1,621,127","436,499","484,426","2,563,040","468,944","35,071","51,961","10,308","566,284","3,129,324",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
STATEWIDE TOTALS,"275,131","1,867,112","493,161","683,344","3,318,748","546,334","35,540","110,642","10,308","702,824","4,021,572",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
