,,DEPARTMENT OF NATURAL RESOURCES,,,,,,,,,
,,Timber Harvest Summary —   All Ownerships,,,,,,,,,
,,1999,,,,,,,,,
,,,,,,,,,,,
,,"( Thousand board feet, Scribner rule )",,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
REGIONS,,,,,OWNER,CLASSES,,,,,TOTAL
AND,Native,Forest,Private,Private,Total,,Other,National,Other,Total,ALL
COUNTIES,American,Industry,Large,Small,Private,State,Non-federal,Forest,Federal,Public,OWNERSHIPS
,,,,,,,,,,,
EASTERN  WASHINGTON,,,,,,,,,,,
ASOTIN,0,0,0,"1,474","1,474",0,0,0,0,0,"1,474"
BENTON,0,0,0,0,0,0,0,0,0,0,0
CHELAN,0,610,424,"5,273","6,307","1,932",0,"8,525",0,"10,457","16,764"
COLUMBIA,0,"4,296",906,"4,464","9,666","1,605",0,"3,327",0,"4,932","14,598"
DOUGLAS,0,0,0,51,51,0,0,0,0,0,51
FERRY,"44,908","5,653","1,826","10,243","62,630",0,554,"6,713",0,"7,267","69,897"
GARFIELD,0,825,0,"1,455","2,280",0,0,"3,199",0,"3,199","5,479"
KITTITAS,0,"34,221","6,512","39,240","79,973","3,269",0,0,0,"3,269","83,242"
KLICKITAT,"5,141","42,594","9,943","25,058","82,736","15,057",0,0,0,"15,057","97,793"
LINCOLN,0,0,0,"6,246","6,246","1,291",0,0,0,"1,291","7,537"
OKANOGAN,"29,533",721,"1,541","7,255","39,050","34,282",0,"11,920",0,"46,202","85,252"
PEND ORIELLE,0,"56,795","29,551","23,454","109,800","3,291",0,"20,862",0,"24,153","133,953"
SPOKANE,0,"6,117","10,018","18,711","34,846",848,23,0,17,888,"35,734"
STEVENS,"15,611","35,791","23,772","84,676","159,850","14,532",0,"11,457",0,"25,989","185,839"
WALLA WALLA,0,"3,789",448,"1,628","5,865","2,366",0,0,0,"2,366","8,231"
WHITMAN,0,0,0,468,468,0,0,0,0,0,468
YAKIMA,"221,054","19,631","1,134","4,639","246,458","10,415",0,"4,746",0,"15,161","261,619"
,,,,,,,,,,,
,,,,,,,,,,,
EASTSIDE TOTALS,"316,247","211,043","86,075","234,335","847,700","88,888",577,"70,749",17,"160,231","1,007,931"
,,,,,,,,,,,
,,,,,,,,,,,
WESTERN  WASHINGTON,,,,,,,,,,,
CLALLAM,"7,547","116,621","70,664","30,540","225,372","36,355",10,"1,329",0,"37,694","263,066"
CLARK,0,"27,359","3,007","47,802","78,168","37,848",0,0,0,"37,848","116,016"
COWLITZ,0,"189,248","26,848","22,003","238,099","33,166",0,0,0,"33,166","271,265"
GRAYS HARBOR,"6,500","315,893","75,190","82,009","479,592","40,525","13,133","2,048",0,"55,706","535,298"
ISLAND,0,0,"1,503","38,397","39,900",0,0,0,0,0,"39,900"
JEFFERSON,0,"11,826","33,263","10,886","55,975","16,409",524,"6,376",0,"23,309","79,284"
KING,0,"123,197","15,352","24,733","163,282","19,987",129,661,0,"20,777","184,059"
KITSAP,0,"1,479","8,405","14,801","24,685","6,458",0,0,10,"6,468","31,153"
LEWIS,0,"270,881","61,544","50,500","382,925","61,632",0,"8,686",0,"70,318","453,243"
MASON,0,"105,055","22,923","46,697","174,675","26,304",0,"1,687",0,"27,991","202,666"
PACIFIC,0,"197,778","42,223","20,316","260,317","48,158",0,0,0,"48,158","308,475"
PIERCE,0,"105,779","27,398","45,997","179,174","19,670",538,0,"5,368","25,576","204,750"
SAN JUAN,0,0,0,"2,543","2,543",0,15,0,0,15,"2,558"
SKAGIT,"1,110","47,608","27,960","35,160","111,838","60,867",163,0,0,"61,030","172,868"
SKAMANIA,0,"3,833","5,198","5,894","14,925","22,669",0,"18,970",0,"41,639","56,564"
SNOHOMISH,"1,635","21,225","38,914","22,530","84,304","47,800",0,"6,313",0,"54,113","138,417"
THURSTON,10,"47,657","7,934","18,453","74,054","50,742",0,0,"3,275","54,017","128,071"
WAHKIAKUM,0,"44,373","23,029","16,184","83,586","10,816",2,0,0,"10,818","94,404"
WHATCOM,855,"23,470","8,948","25,333","58,606","34,185",0,0,0,"34,185","92,791"
,,,,,,,,,,,
WESTSIDE TOTALS,"17,657","1,653,282","500,303","560,778","2,732,020","573,591","14,514","46,070","8,653","642,828","3,374,848"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
STATEWIDE TOTALS,"333,904","1,864,325","586,378","795,113","3,579,720","662,479","15,091","116,819","8,670","803,059","4,382,779"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
